Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Completado,Observaciones,Fecha Programada,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,correo de programador,correo de planeador,imagen_observacion
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,"Fugas de aceite, agua y combustible",si,CUMPLE,"8/5/2024, 20:46:35","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,"Estado de los tableros eléctricos (contactores, pulsadores, breakes, selectores etc)",si,CUMPLE,"8/5/2024, 20:46:46","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,Estado de los calentadores,si,CUMPLE,"8/5/2024, 20:45:18","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,Verificar nivel de aceite,si,CUMPLE,"8/5/2024, 20:45:25","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,Estado de tuberías y accesorios,si,CUMPLE,"8/5/2024, 20:46:54","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,Encender planta por 10 minutos,si,CUMPLE,"8/5/2024, 20:45:03","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,Revisar buen funcionamiento baterias,si,CUMPLE,"8/5/2024, 20:45:08","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,"Estado del agua de refrigeración, ¿posee inhibidor o aditivo refrigerante? ",si,CUMPLE,"8/5/2024, 20:47:05","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,Verificar correcta alimentación de ACPM al equipo,si,CUMPLE,"8/5/2024, 20:47:31","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,Revisar adecuada carga en batería,si,CUMPLE,"8/5/2024, 20:47:36","0,0083333333",,,,,.,.,CUMPLE
EQUIPOS PARA SERVICIOS INDUSTRIALES,670022,PLANTA ELECTRICA,13338364,Inspeccion semanal,"Antes de retirarse del area inspecciones que no hayan sintomas anormales, ruido, vibración, fugas , etc.",si,CUMPLE,"8/5/2024, 20:47:50","0,0083333333",,,,,.,.,CUMPLE
