Línea,Código Equipo,Equipo,Orden,Desc. Orden,Descripción,Duración,revisado tiempo,revisado presupuesto,revisado repuestos,revisado repuestos programador,aprobacion programador,correo de programador,correo de planeador,Completado,Observaciones,Fecha Programada,imagen_observacion
TRATAMIENTO DE AGUA PARA ENVASADO,709689,BOMBA POZO NO 4,13344870,Inspección semanal bomba pozo #4 ptap,Estado del tablero eléctrico del pozo 4.,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709689,BOMBA POZO NO 4,13344870,Inspección semanal bomba pozo #4 ptap,Estado del cableado eléctrico y sensores del pozo 4.,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709689,BOMBA POZO NO 4,13344870,Inspección semanal bomba pozo #4 ptap,Revisión limpieza extractor IO climatizador tablero eléctrico,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709689,BOMBA POZO NO 4,13344870,Inspección semanal bomba pozo #4 ptap,Estado de manómetros,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709689,BOMBA POZO NO 4,13344870,Inspección semanal bomba pozo #4 ptap,Estado de la iluminanción ,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709689,BOMBA POZO NO 4,13344870,Inspección semanal bomba pozo #4 ptap,Estado de encerramiento de mallas,"0,0714285714",,,,,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965521,BOMBA TANQUE PULMON POZOS 1,13344909,Inspección semanal bomba tk pulmon poz 1,Estado de Bomba tanque Pulmon Pozos 1 COD: 70965521,"0,5",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965522,BOMBA TANQUE PULMON POZOS 2,13344910,Inspección semanal bomba tk pulmon pozo2,Estado de Bomba tanque Pulmon Pozos 2 COD: 70965522,"0,5",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,70965523,BOMBA TANQUE PULMON POZOS 3,13344911,Inspección semanal bomba tk pulmon pozo3,Estado de Bomba tanque Pulmon Pozos 3 COD: 70965523,"0,5",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709736,TANQUE DE AGUAS INDUSTRIALES,13344872,Inspección semanal tk aguas industriales,"Estado del tanque aguas industriales   
cod: 709736","0,0833333333",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709737,TANQUE DE AGUA CALDERAS,13344873,Inspección semanal tk agua de calderas,"Estado del tanque aguas caldera          
cod: 709737","0,0625",si,si,si,si,,,,,,,
TRATAMIENTO DE AGUA PARA ENVASADO,709737,TANQUE DE AGUA CALDERAS,13344873,Inspección semanal tk agua de calderas,Estado de tubería distribuidor de vapor.,"0,0625",,,,,,,,,,,
